epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,0,,0.0536973662674427,66756.9765625,0.09238461405038834,1.9919419288635254,0.05327416956424713
0,0,0.12642782926559448,,,,,
1,1,,0.05346635356545448,24902.564453125,0.09270349889993668,1.9966325759887695,0.053124938160181046
1,1,0.12607143819332123,,,,,
2,2,,0.05362774804234505,20653.751953125,0.0930536612868309,1.9999557733535767,0.053002890199422836
2,2,0.12590524554252625,,,,,
3,3,,0.05337277427315712,5893.55859375,0.09286842495203018,1.9989262819290161,0.052899401634931564
3,3,0.12576977908611298,,,,,
4,4,,0.0533687025308609,8978.4609375,0.09280812740325928,1.9981260299682617,0.05276620015501976
4,4,0.12565533816814423,,,,,
5,5,,0.05327058956027031,2527.69091796875,0.0927499309182167,1.996912956237793,0.052668530493974686
5,5,0.12552104890346527,,,,,
6,6,,0.05326908826828003,12462.0830078125,0.09257689118385315,1.9947744607925415,0.05251636728644371
6,6,0.12540343403816223,,,,,
7,7,,0.05316559970378876,8030.54248046875,0.09247510880231857,1.9931780099868774,0.05235704779624939
7,7,0.12524734437465668,,,,,
8,8,,0.05317136272788048,13148.2822265625,0.0923968181014061,1.9921607971191406,0.05219034478068352
8,8,0.12510325014591217,,,,,
9,9,,0.0530337393283844,10366.3671875,0.09220760315656662,1.9894040822982788,0.05199937894940376
9,9,0.12489024549722672,,,,,
10,10,,0.052833426743745804,5224.13134765625,0.09195125848054886,1.9851762056350708,0.05179302394390106
10,10,0.12468911707401276,,,,,
11,11,,0.05269458889961243,2947.271484375,0.09175129979848862,1.980650544166565,0.05154227837920189
11,11,0.12446866929531097,,,,,
12,12,,0.052628081291913986,8821.8115234375,0.09153560549020767,1.979724407196045,0.051273178309202194
12,12,0.12420856952667236,,,,,
13,13,,0.05247842147946358,10751.0126953125,0.09124483913183212,1.9751348495483398,0.05097036436200142
13,13,0.12391764670610428,,,,,
14,14,,0.052234064787626266,6300.59814453125,0.09090087562799454,1.9704084396362305,0.05067357420921326
14,14,0.12359611690044403,,,,,
15,15,,0.05226781964302063,31049.810546875,0.09053387492895126,1.965693473815918,0.05040402710437775
15,15,0.12328742444515228,,,,,
16,16,,0.051946427673101425,19664.7578125,0.09017624706029892,1.960713505744934,0.050035733729600906
16,16,0.12296899408102036,,,,,
17,17,,0.05160875245928764,7268.37646484375,0.08980818837881088,1.9554567337036133,0.049700718373060226
17,17,0.1226048469543457,,,,,
18,18,,0.05133673548698425,4896.47607421875,0.08938071876764297,1.9487857818603516,0.049278080463409424
18,18,0.12225694954395294,,,,,
19,19,,0.05119764432311058,18867.619140625,0.0889010801911354,1.9433196783065796,0.04895861819386482
19,19,0.12179601192474365,,,,,
